model,uniprot,target_seen,tier,hit,tot,ef_tier
drugclip,Q92769,1,极近 ≥0.7,5,12,41.6667
drugclip,Q92769,1,全新 <0.35,14,38,36.8421
drugclip,Q92918,1,极近 ≥0.7,1,4,25.0000
drugclip,Q92918,1,近 0.5–0.7,3,10,30.0000
drugclip,Q92918,1,远 0.35–0.5,0,16,0.0000
drugclip,Q92918,1,全新 <0.35,0,131,0.0000
drugclip,Q9BY41,1,极近 ≥0.7,6,8,75.0000
drugclip,Q9BY41,1,全新 <0.35,9,32,28.1250
drugclip,Q9BY41,1,远 0.35–0.5,28,51,54.9020
drugclip,Q9BY41,1,近 0.5–0.7,7,13,53.8462
drugclip,Q9NWZ3,1,全新 <0.35,13,69,18.8406
drugclip,Q9NWZ3,1,远 0.35–0.5,2,14,14.2857
drugclip,Q9NWZ3,1,极近 ≥0.7,2,6,33.3333
drugclip,Q9NZQ7,1,远 0.35–0.5,8,40,20.0000
drugclip,Q9NZQ7,1,全新 <0.35,0,42,0.0000
drugclip,Q9NZQ7,1,近 0.5–0.7,3,3,100.0000
drugclip,Q9UBN7,1,全新 <0.35,0,185,0.0000
drugclip,Q9UBN7,1,远 0.35–0.5,0,180,0.0000
drugclip,Q9UBN7,1,极近 ≥0.7,0,12,0.0000
drugclip,Q9UBN7,1,近 0.5–0.7,1,49,2.0408
drugclip,Q9Y5Z0,1,远 0.35–0.5,61,101,60.3960
drugclip,Q9Y5Z0,1,近 0.5–0.7,3,6,50.0000
drugclip,Q9Y5Z0,1,全新 <0.35,52,120,43.3333
drugclip,O14684,1,全新 <0.35,0,35,0.0000
drugclip,O14684,1,远 0.35–0.5,22,86,25.5814
drugclip,O14684,1,近 0.5–0.7,1,4,25.0000
drugclip,O14744,1,全新 <0.35,196,753,26.0292
drugclip,O14744,1,远 0.35–0.5,21,58,36.2069
drugclip,O14744,1,近 0.5–0.7,0,3,0.0000
drugclip,O14757,1,远 0.35–0.5,18,49,36.7347
drugclip,O14757,1,全新 <0.35,56,137,40.8759
drugclip,O14757,1,近 0.5–0.7,0,4,0.0000
drugclip,O15379,0,近 0.5–0.7,0,10,0.0000
drugclip,O15379,0,远 0.35–0.5,0,87,0.0000
drugclip,O15379,0,全新 <0.35,1,315,0.3175
drugclip,O43570,1,远 0.35–0.5,0,141,0.0000
drugclip,O43570,1,全新 <0.35,0,82,0.0000
drugclip,O43570,1,近 0.5–0.7,0,16,0.0000
drugclip,O43613,1,全新 <0.35,15,70,21.4286
drugclip,O43613,1,远 0.35–0.5,12,23,52.1739
drugclip,O43613,1,近 0.5–0.7,3,6,50.0000
drugclip,O43614,1,全新 <0.35,21,117,17.9487
drugclip,O43614,1,远 0.35–0.5,10,22,45.4545
drugclip,O43614,1,近 0.5–0.7,6,6,100.0000
drugclip,O60341,1,全新 <0.35,69,760,9.0789
drugclip,O60341,1,远 0.35–0.5,4,44,9.0909
drugclip,O60341,1,近 0.5–0.7,3,3,100.0000
drugclip,O60502,1,全新 <0.35,18,294,6.1224
drugclip,O60502,1,远 0.35–0.5,1,6,16.6667
drugclip,O60885,1,全新 <0.35,142,339,41.8879
drugclip,O60885,1,远 0.35–0.5,50,189,26.4550
drugclip,O60885,1,近 0.5–0.7,3,29,10.3448
drugclip,O60885,1,极近 ≥0.7,1,19,5.2632
drugclip,O75116,1,全新 <0.35,74,235,31.4894
drugclip,O75116,1,远 0.35–0.5,28,62,45.1613
drugclip,O75116,1,近 0.5–0.7,0,4,0.0000
drugclip,O75173,1,近 0.5–0.7,4,5,80.0000
drugclip,O75173,1,全新 <0.35,25,71,35.2113
drugclip,O75173,1,远 0.35–0.5,6,7,85.7143
drugclip,O75385,1,远 0.35–0.5,3,26,11.5385
drugclip,O75385,1,近 0.5–0.7,0,4,0.0000
drugclip,O75385,1,全新 <0.35,4,378,1.0582
drugclip,O95497,0,远 0.35–0.5,0,9,0.0000
drugclip,O95497,0,全新 <0.35,2,109,1.8349
drugclip,O95819,1,全新 <0.35,6,57,10.5263
drugclip,O95819,1,远 0.35–0.5,0,7,0.0000
drugclip,O96017,1,全新 <0.35,2,17,11.7647
drugclip,O96017,1,远 0.35–0.5,10,44,22.7273
drugclip,O96017,1,近 0.5–0.7,1,4,25.0000
drugclip,O96028,0,全新 <0.35,1,63,1.5873
drugclip,O96028,0,远 0.35–0.5,0,14,0.0000
drugclip,P00519,1,远 0.35–0.5,3,138,2.1739
drugclip,P00519,1,全新 <0.35,1,133,0.7519
drugclip,P00519,1,近 0.5–0.7,3,21,14.2857
drugclip,P00533,1,近 0.5–0.7,2,72,2.7778
drugclip,P00533,1,远 0.35–0.5,43,360,11.9444
drugclip,P00533,1,全新 <0.35,159,1615,9.8452
drugclip,P00734,1,远 0.35–0.5,25,52,48.0769
drugclip,P00734,1,全新 <0.35,0,6,0.0000
drugclip,P00734,1,近 0.5–0.7,12,14,85.7143
drugclip,P00742,1,远 0.35–0.5,21,48,43.7500
drugclip,P00742,1,近 0.5–0.7,4,15,26.6667
drugclip,P00742,1,全新 <0.35,0,3,0.0000
drugclip,P00746,1,全新 <0.35,154,348,44.2529
drugclip,P00746,1,远 0.35–0.5,10,16,62.5000
drugclip,P03372,1,全新 <0.35,61,197,30.9645
drugclip,P03372,1,远 0.35–0.5,3,21,14.2857
drugclip,P03951,1,全新 <0.35,42,80,52.5000
drugclip,P03951,1,远 0.35–0.5,7,20,35.0000
drugclip,P03952,1,远 0.35–0.5,2,38,5.2632
drugclip,P03952,1,全新 <0.35,2,92,2.1739
drugclip,P04150,1,全新 <0.35,10,279,3.5842
drugclip,P04150,1,远 0.35–0.5,0,3,0.0000
drugclip,P04150,1,近 0.5–0.7,4,4,100.0000
drugclip,P04293,0,全新 <0.35,0,346,0.0000
drugclip,P04293,0,远 0.35–0.5,0,9,0.0000
drugclip,P04626,1,全新 <0.35,400,932,42.9185
drugclip,P04626,1,远 0.35–0.5,23,54,42.5926
drugclip,P04626,1,近 0.5–0.7,6,18,33.3333
drugclip,P06239,1,全新 <0.35,4,536,0.7463
