model,checkpoint,protein_band,ligand_tier,n_targets,ef_mean,ef_se,thin_n_lt_10
bindclip_randneg,as-published,>=60%,极近 ≥0.7,6,15.9384,7.3193,1
bindclip_randneg,as-published,20-60%,全新 <0.35,16,4.0850,1.5881,0
bindclip_randneg,as-published,20-60%,远 0.35–0.5,20,6.9497,2.5285,0
bindclip_randneg,as-published,20-60%,近 0.5–0.7,11,11.3989,4.3843,0
bindclip_randneg,as-published,20-60%,极近 ≥0.7,9,18.2344,4.9697,1
bindclip_randneg,as-published,no hit,全新 <0.35,22,3.5314,1.7156,0
bindclip_randneg,as-published,no hit,远 0.35–0.5,26,6.4471,2.4847,0
bindclip_randneg,as-published,no hit,近 0.5–0.7,17,10.5392,4.2686,0
bindclip_randneg,as-published,no hit,极近 ≥0.7,9,3.7409,2.3543,1
bindclip_hardneg,as-published,in training,全新 <0.35,127,4.8136,0.8624,0
bindclip_hardneg,as-published,in training,远 0.35–0.5,190,11.6754,1.2218,0
bindclip_hardneg,as-published,in training,近 0.5–0.7,184,19.2595,1.6638,0
bindclip_hardneg,as-published,in training,极近 ≥0.7,127,20.4092,2.1900,0
bindclip_hardneg,as-published,>=60%,全新 <0.35,12,3.0411,1.9168,0
bindclip_hardneg,as-published,>=60%,远 0.35–0.5,15,6.5869,3.1193,0
bindclip_hardneg,as-published,>=60%,近 0.5–0.7,11,11.8410,5.0618,0
bindclip_hardneg,as-published,>=60%,极近 ≥0.7,6,12.7324,6.9162,1
bindclip_hardneg,as-published,20-60%,全新 <0.35,16,0.3059,0.2663,0
bindclip_hardneg,as-published,20-60%,远 0.35–0.5,20,3.4244,1.5879,0
bindclip_hardneg,as-published,20-60%,近 0.5–0.7,11,5.8408,3.3569,0
bindclip_hardneg,as-published,20-60%,极近 ≥0.7,9,10.6061,5.2262,1
bindclip_hardneg,as-published,no hit,全新 <0.35,22,4.3599,1.9740,0
bindclip_hardneg,as-published,no hit,远 0.35–0.5,26,8.3495,3.1984,0
bindclip_hardneg,as-published,no hit,近 0.5–0.7,17,11.6018,5.0911,0
bindclip_hardneg,as-published,no hit,极近 ≥0.7,9,3.6508,3.3087,1
conglude,as-published,in training,全新 <0.35,118,3.8010,0.8609,0
conglude,as-published,in training,远 0.35–0.5,178,6.1010,0.6722,0
conglude,as-published,in training,近 0.5–0.7,177,11.3890,1.2054,0
conglude,as-published,in training,极近 ≥0.7,126,12.5661,1.5039,0
conglude,as-published,>=60%,全新 <0.35,11,4.6982,3.1604,0
conglude,as-published,>=60%,远 0.35–0.5,16,7.7132,3.8690,0
conglude,as-published,>=60%,近 0.5–0.7,12,8.2095,4.3161,0
conglude,as-published,>=60%,极近 ≥0.7,8,17.5776,8.5325,1
conglude,as-published,20-60%,全新 <0.35,16,3.5705,2.8709,0
conglude,as-published,20-60%,远 0.35–0.5,21,6.5200,3.7801,0
conglude,as-published,20-60%,近 0.5–0.7,14,4.9572,2.1240,0
conglude,as-published,20-60%,极近 ≥0.7,11,10.7696,3.8426,0
conglude,as-published,no hit,全新 <0.35,21,1.6760,1.2760,0
conglude,as-published,no hit,远 0.35–0.5,27,3.2675,1.8239,0
conglude,as-published,no hit,近 0.5–0.7,19,5.4146,4.0907,0
conglude,as-published,no hit,极近 ≥0.7,12,2.1759,1.4864,0
conplex,as-published,in training,全新 <0.35,140,2.1618,0.6801,0
conplex,as-published,in training,远 0.35–0.5,210,2.8013,0.4544,0
conplex,as-published,in training,近 0.5–0.7,206,4.6869,0.6866,0
conplex,as-published,in training,极近 ≥0.7,142,9.9771,1.4495,0
conplex,as-published,>=60%,全新 <0.35,13,0.7458,0.5695,0
conplex,as-published,>=60%,远 0.35–0.5,18,0.8499,0.5140,0
conplex,as-published,>=60%,近 0.5–0.7,14,3.6761,2.0039,0
conplex,as-published,>=60%,极近 ≥0.7,8,15.4416,7.9235,1
conplex,as-published,20-60%,全新 <0.35,16,1.0719,1.0401,0
conplex,as-published,20-60%,远 0.35–0.5,21,0.3830,0.2438,0
conplex,as-published,20-60%,近 0.5–0.7,13,4.2177,1.8120,0
conplex,as-published,20-60%,极近 ≥0.7,11,5.3310,2.7311,0
conplex,as-published,no hit,全新 <0.35,23,0.3559,0.2256,0
conplex,as-published,no hit,远 0.35–0.5,30,2.4462,1.0320,0
conplex,as-published,no hit,近 0.5–0.7,20,0.8476,0.4361,0
conplex,as-published,no hit,极近 ≥0.7,11,3.6620,2.1701,0
sprint,as-published,in training,全新 <0.35,119,1.1429,0.3829,0
sprint,as-published,in training,远 0.35–0.5,180,2.4053,0.4449,0
sprint,as-published,in training,近 0.5–0.7,179,1.8695,0.3180,0
sprint,as-published,in training,极近 ≥0.7,126,3.0206,0.6038,0
sprint,as-published,>=60%,全新 <0.35,11,1.2159,0.9329,0
sprint,as-published,>=60%,远 0.35–0.5,16,1.7267,0.7185,0
sprint,as-published,>=60%,近 0.5–0.7,12,1.9578,1.0394,0
sprint,as-published,>=60%,极近 ≥0.7,8,1.6652,0.8668,1
sprint,as-published,20-60%,全新 <0.35,16,0.0998,0.0998,0
sprint,as-published,20-60%,远 0.35–0.5,21,0.8199,0.4895,0
sprint,as-published,20-60%,近 0.5–0.7,14,1.9128,0.9023,0
sprint,as-published,20-60%,极近 ≥0.7,11,3.1907,1.7372,0
sprint,as-published,no hit,全新 <0.35,21,0.9524,0.9524,0
sprint,as-published,no hit,远 0.35–0.5,27,2.3938,1.1026,0
sprint,as-published,no hit,近 0.5–0.7,19,2.2947,1.3890,0
sprint,as-published,no hit,极近 ≥0.7,12,5.2434,3.3121,0
