layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L2,P35372,197,9850,51.0000,19.8728,0.9947,0.9990,0.9906
L2,P35916,71,3550,49.6216,17.6538,0.9351,0.9681,0.8797
L2,P35968,927,46350,49.8140,19.5457,0.9652,0.9932,0.9379
L2,P36888,506,25300,47.0618,19.1991,0.9274,0.9914,0.8788
L2,P39900,83,4150,51.0000,19.7264,0.9947,0.9892,0.9882
L2,P41143,92,4600,51.0000,19.7489,0.9950,0.9959,0.9891
L2,P41145,526,26300,51.0000,19.8376,0.9955,0.9960,0.9915
L2,P41146,54,2700,51.0000,19.9565,0.9993,1.0000,1.0000
L2,P41240,174,8700,51.0000,19.8716,0.9968,0.9969,0.9933
L2,P42330,77,3850,51.0000,19.9340,0.9999,1.0000,1.0000
L2,P42345,80,4000,51.0000,19.0000,0.9491,0.9853,0.9146
L2,P43405,104,5200,51.0000,19.7481,0.9910,0.9975,0.9837
L2,P43490,482,24100,51.0000,19.8610,0.9938,0.9992,0.9894
L2,P47205,147,7350,51.0000,19.8560,0.9943,0.9969,0.9895
L2,P47869,184,9200,51.0000,19.9660,0.9999,1.0000,1.0000
L2,P48729,134,6700,51.0000,19.2368,0.9842,0.9812,0.9644
L2,P48730,144,7200,50.3108,19.6793,0.9840,0.9975,0.9635
L2,P49759,134,6700,50.2609,18.9386,0.9587,0.9798,0.9200
L2,P49760,257,12850,50.6136,19.9024,0.9928,0.9963,0.9883
L2,P49841,1407,70350,50.6654,19.8570,0.9692,0.9966,0.9830
L2,P50053,944,47200,51.0000,19.9934,0.9976,1.0000,1.0000
L2,P50406,56,2800,51.0000,18.9021,0.9758,0.9787,0.9481
L2,P50750,192,9600,49.4388,19.1510,0.9608,0.9821,0.9325
L2,P51531,92,4600,51.0000,19.3149,0.9860,0.9826,0.9708
L2,P51532,82,4100,51.0000,19.6714,0.9944,0.9995,0.9914
L2,P53350,107,5350,51.0000,19.8022,0.9936,0.9960,0.9879
L2,P53396,59,2950,51.0000,19.5894,0.9915,0.9832,0.9816
L2,P53634,415,20750,51.0000,19.9377,0.9979,0.9996,0.9978
L2,P53667,62,3100,51.0000,18.6038,0.9715,0.9858,0.9404
L2,P53671,66,3300,51.0000,19.0118,0.9801,0.9883,0.9571
L2,P53779,65,3250,51.0000,18.1265,0.9557,0.9549,0.9099
L2,P56817,352,17600,51.0000,19.8775,0.9971,0.9970,0.9941
L2,P61073,52,2600,51.0000,18.0226,0.9464,0.9692,0.9097
L2,P61964,51,2550,51.0000,19.4656,0.9917,0.9943,0.9817
L2,P62813,86,4300,51.0000,19.9364,0.9481,1.0000,1.0000
L2,P78527,632,31600,50.8421,19.9634,0.9943,0.9992,0.9886
L2,P80192,58,2900,51.0000,19.9865,0.9999,1.0000,1.0000
L2,Q00534,1091,54550,50.9084,19.9199,0.9949,0.9980,0.9915
L2,Q03111,100,5000,51.0000,20.0000,0.9999,1.0000,1.0000
L2,Q04609,101,5050,51.0000,19.7674,0.9925,0.9990,0.9883
L2,Q06124,487,24350,51.0000,19.9976,0.9998,1.0000,0.9997
L2,Q06187,977,48850,50.8978,19.9539,0.9944,0.9996,0.9956
L2,Q07817,377,18850,51.0000,19.9335,0.9985,0.9976,0.9974
L2,Q09472,112,5600,51.0000,19.6154,0.9898,0.9830,0.9790
L2,Q12884,122,6100,51.0000,19.9423,0.9932,0.9996,0.9902
L2,Q13315,216,10800,51.0000,19.8076,0.9947,0.9985,0.9902
L2,Q13464,183,9150,51.0000,19.7666,0.9847,0.9914,0.9887
L2,Q13489,211,10550,51.0000,19.9647,0.9998,1.0000,1.0000
L2,Q13546,588,29400,51.0000,19.8560,0.9967,0.9968,0.9932
L2,Q13547,1044,52200,50.8086,19.6732,0.9764,0.9969,0.9628
L2,Q14145,124,6200,51.0000,19.7886,0.9879,0.9994,0.9931
L2,Q14833,171,8550,51.0000,19.9565,0.9979,1.0000,1.0000
L2,Q15119,112,5600,51.0000,19.9720,0.9962,0.9997,0.9947
L2,Q15125,177,8850,51.0000,19.9712,0.9405,0.9999,0.9974
L2,Q15858,660,33000,51.0000,19.9697,0.9940,0.9992,0.9976
L2,Q15910,735,36750,51.0000,19.9920,0.9999,1.0000,0.9999
L2,Q16288,166,8300,51.0000,19.6061,0.9921,0.9915,0.9823
L2,Q16552,262,13100,51.0000,19.9731,0.9999,1.0000,1.0000
L2,Q16584,93,4650,51.0000,19.9286,1.0000,1.0000,1.0000
L2,Q16620,188,9400,51.0000,19.4437,0.9885,0.9858,0.9742
