uniprot,layer_original,layer_corrected,layer_strict,seen_A,seen_B,seen_B_blend_only,seen_C,seen_D,seen_any
P53667,L2,L2,L2,0,1,1,1,0,1
P53671,L2,L2,L2,1,1,1,1,0,1
P53779,L2,L2,L2,1,1,1,1,0,1
P78527,L2,L2,L2,0,1,1,1,0,1
P80192,L2,L2,L2,1,1,1,1,0,1
Q00534,L2,L2,L2,1,1,1,0,0,1
Q06187,L2,L2,L2,1,1,1,1,0,1
Q13315,L2,L2,L2,0,1,1,0,1,1
Q13464,L2,L2,L2,1,1,1,1,0,1
Q13546,L2,L2,L2,1,1,1,1,0,1
Q15119,L2,L2,L2,1,1,1,1,0,1
Q16288,L2,L2,L2,1,1,1,1,0,1
Q16584,L2,L2,L2,0,1,1,1,0,1
Q16620,L2,L2,L2,1,1,1,1,0,1
Q5S007,L2,L2,L2,0,1,1,1,0,1
Q8IVH8,L2,L2,L2,1,1,1,1,0,1
Q99640,L2,L2,L2,1,1,1,1,0,1
Q99683,L2,L2,L2,1,1,1,1,0,1
Q9HAZ1,L2,L2,L2,1,1,1,1,0,1
Q9HBH9,L2,L2,L2,1,1,1,1,0,1
Q9NSY1,L2,L2,L2,1,1,1,0,0,1
Q9NWZ3,L2,L2,L2,1,1,1,1,0,1
Q9NYV4,L2,L2,L2,1,1,1,0,0,1
Q9P2K8,L2,L2,L2,0,1,1,0,0,1
P10415,L2,L2,L2,1,1,1,1,0,1
P47869,L2,L2,L2,0,1,1,0,0,1
P62813,L2,L2,L2,0,1,1,1,0,1
Q07817,L2,L2,L2,1,1,1,1,0,1
Q15858,L2,L2,L2,1,1,1,0,0,1
Q9Y5Y9,L2,L2,L2,0,1,1,0,0,1
O75173,L2,L2,L2,1,1,1,0,0,1
P00734,L2,L2,L2,1,1,1,1,0,1
P00742,L2,L2,L2,1,1,1,1,0,1
P00746,L2,L2,L2,1,1,1,1,0,1
P00751,L2,L2,L2,0,1,1,0,0,1
P03951,L2,L2,L2,1,1,1,1,0,1
