benchmark,target,n_mol,n_active,ef1,ef1_ceiling,pct_of_ceiling,bedroc,auroc
DUD-E,MAPK2,6246,101,61.8416,61.8416,1.0000,0.9941,0.9947
DUD-E,MCR,5242,93,56.3656,56.3656,1.0000,0.9950,0.9920
DUD-E,MET,11411,166,68.7410,68.7410,1.0000,0.9817,0.9907
DUD-E,MK01,4629,79,58.5949,58.5949,1.0000,0.9702,0.9645
DUD-E,MK10,6701,104,64.4327,64.4327,1.0000,0.9502,0.9774
DUD-E,MK14,36415,578,63.0017,63.0017,1.0000,0.9955,0.9968
DUD-E,MMP13,37766,572,66.0245,66.0245,1.0000,0.9969,0.9997
DUD-E,MP2K1,8267,121,68.3223,68.3223,1.0000,0.9787,0.9896
DUD-E,NOS1,8140,100,81.4000,81.4000,1.0000,0.9834,0.9955
DUD-E,NRAM,6297,98,64.2551,64.2551,1.0000,0.9986,1.0000
DUD-E,PA2GA,5249,99,53.0202,53.0202,1.0000,0.9801,0.9814
DUD-E,PARP1,30542,508,60.1220,60.1220,1.0000,0.9979,0.9998
DUD-E,PDE5A,27927,398,70.1683,70.1683,1.0000,0.9928,0.9984
DUD-E,PGH1,10992,195,56.3692,56.3692,1.0000,0.9623,0.9846
DUD-E,PGH2,23563,435,54.1678,54.1678,1.0000,0.9794,0.9905
DUD-E,PLK1,6907,107,64.5514,64.5514,1.0000,0.9794,0.9778
DUD-E,PNPH,7049,103,68.4369,68.4369,1.0000,1.0000,1.0000
DUD-E,PPARA,19772,373,53.0080,53.0080,1.0000,0.9964,0.9964
DUD-E,PPARD,12489,240,52.0375,52.0375,1.0000,0.9947,0.9960
DUD-E,PPARG,25783,484,53.2707,53.2707,1.0000,0.9916,0.9971
DUD-E,PRGR,15941,293,54.4061,54.4061,1.0000,0.9931,0.9997
DUD-E,PTN1,7379,130,56.7615,56.7615,1.0000,0.9868,0.9946
DUD-E,PUR2,2750,50,55.0000,55.0000,1.0000,0.9988,1.0000
DUD-E,PYGM,4025,77,52.2727,52.2727,1.0000,0.9989,1.0000
DUD-E,PYRD,6560,111,59.0991,59.0991,1.0000,0.9989,1.0000
DUD-E,RENI,7062,104,67.9038,67.9038,1.0000,0.9954,0.9997
DUD-E,ROCK1,6400,100,64.0000,64.0000,1.0000,0.9831,0.9885
DUD-E,RXRA,7081,131,54.0534,54.0534,1.0000,1.0000,1.0000
DUD-E,SAHH,3512,63,55.7460,55.7460,1.0000,0.9977,1.0000
DUD-E,SRC,35020,524,66.8321,66.8321,1.0000,0.9802,0.9875
DUD-E,TGFR1,8628,133,64.8722,64.8722,1.0000,0.9962,0.9976
DUD-E,THB,7553,103,73.3301,73.3301,1.0000,0.9994,1.0000
DUD-E,THRB,27461,461,59.5683,59.5683,1.0000,1.0000,1.0000
DUD-E,TRY1,26424,449,58.8508,58.8508,1.0000,0.9953,0.9961
DUD-E,TRYB1,7796,148,52.6757,52.6757,1.0000,0.9971,0.9973
DUD-E,TYSY,6852,109,62.8624,62.8624,1.0000,0.9903,0.9981
DUD-E,UROK,10005,162,61.7593,61.7593,1.0000,0.9930,0.9984
DUD-E,VGFR2,25353,409,61.9878,61.9878,1.0000,0.9905,0.9979
DUD-E,WEE1,6250,102,61.2745,61.2745,1.0000,0.9975,0.9999
DUD-E,XIAP,5250,100,52.5000,52.5000,1.0000,0.9999,1.0000
DEKOIS 2.0,11BETAHSD1,1236,37,33.4054,33.4054,1.0000,0.9389,0.9700
DEKOIS 2.0,17BETAHSD1,1239,39,31.7692,31.7692,1.0000,0.9592,0.9621
DEKOIS 2.0,A2A,1240,40,28.6154,31.0000,0.9231,0.7792,0.9368
DEKOIS 2.0,ACE,1240,40,31.0000,31.0000,1.0000,0.9887,0.9914
DEKOIS 2.0,ACE2,1240,40,31.0000,31.0000,1.0000,0.9910,1.0000
DEKOIS 2.0,ACHE,1238,40,30.9500,30.9500,1.0000,0.9961,0.9998
DEKOIS 2.0,ADAM17,1239,40,30.9750,30.9750,1.0000,0.9767,0.9969
DEKOIS 2.0,ADRB2,1240,40,31.0000,31.0000,1.0000,0.9861,0.9719
DEKOIS 2.0,AKT1,1240,40,28.6154,31.0000,0.9231,0.9402,0.9520
DEKOIS 2.0,ALR2,1240,40,31.0000,31.0000,1.0000,0.9718,0.9808
DEKOIS 2.0,AR,1238,40,28.5692,30.9500,0.9231,0.9118,0.9849
