baseline,layer,uniprot,n_actives,spearman
learned_ridge,L2,P29275,358,0.0801
learned_ridge,L2,P29597,1372,0.1936
learned_ridge,L2,P30530,928,0.1072
learned_ridge,L2,P30542,114,0.1273
learned_ridge,L2,P31391,100,0.3429
learned_ridge,L2,P31645,109,0.0749
learned_ridge,L2,P31749,213,0.0209
learned_ridge,L2,P31751,118,0.1684
learned_ridge,L2,P32245,208,0.1281
learned_ridge,L2,P34913,62,0.2826
learned_ridge,L2,P34914,198,0.4424
learned_ridge,L2,P34972,63,0.1577
learned_ridge,L2,P35372,197,-0.0570
learned_ridge,L2,P35916,71,0.2603
learned_ridge,L2,P35968,927,0.3951
learned_ridge,L2,P36888,506,0.6729
learned_ridge,L2,P39900,83,-0.0764
learned_ridge,L2,P41143,92,-0.3654
learned_ridge,L2,P41145,526,-0.2338
learned_ridge,L2,P41146,54,-0.1771
learned_ridge,L2,P41240,174,-0.1509
learned_ridge,L2,P42330,77,-0.0064
learned_ridge,L2,P42345,80,-0.3379
learned_ridge,L2,P43405,104,0.1052
learned_ridge,L2,P43490,482,0.2980
learned_ridge,L2,P47205,147,0.5201
learned_ridge,L2,P47869,184,-0.3718
learned_ridge,L2,P48729,134,0.0292
learned_ridge,L2,P48730,144,-0.0072
learned_ridge,L2,P49759,134,0.5415
learned_ridge,L2,P49760,257,0.7988
learned_ridge,L2,P49841,1407,-0.1464
learned_ridge,L2,P50053,944,-0.4784
learned_ridge,L2,P50406,56,0.1451
learned_ridge,L2,P50750,192,-0.0261
learned_ridge,L2,P51531,92,0.1475
learned_ridge,L2,P51532,82,0.0792
learned_ridge,L2,P53350,107,-0.4592
learned_ridge,L2,P53396,59,0.0805
learned_ridge,L2,P53634,415,-0.0341
learned_ridge,L2,P53667,62,0.0637
learned_ridge,L2,P53671,66,0.0241
learned_ridge,L2,P53779,65,0.1950
learned_ridge,L2,P56817,352,0.3301
learned_ridge,L2,P61073,52,0.2103
learned_ridge,L2,P61964,51,0.2515
learned_ridge,L2,P62813,86,-0.0974
learned_ridge,L2,P78527,632,-0.0008
learned_ridge,L2,P80192,58,0.2289
learned_ridge,L2,Q00534,1091,-0.1310
learned_ridge,L2,Q03111,100,-0.1708
learned_ridge,L2,Q04609,101,0.1347
learned_ridge,L2,Q06124,487,0.0108
learned_ridge,L2,Q06187,977,-0.1787
learned_ridge,L2,Q07817,377,0.3855
learned_ridge,L2,Q09472,112,0.4281
learned_ridge,L2,Q12884,122,0.3756
learned_ridge,L2,Q13315,216,-0.1619
learned_ridge,L2,Q13464,183,-0.2851
learned_ridge,L2,Q13489,211,-0.0405
learned_ridge,L2,Q13546,588,0.4201
learned_ridge,L2,Q13547,1044,0.0506
learned_ridge,L2,Q14145,124,0.3076
learned_ridge,L2,Q14833,171,-0.1817
learned_ridge,L2,Q15119,112,0.1181
learned_ridge,L2,Q15125,177,0.1739
learned_ridge,L2,Q15858,660,-0.1987
learned_ridge,L2,Q15910,735,-0.4760
learned_ridge,L2,Q16288,166,0.6167
learned_ridge,L2,Q16552,262,-0.0533
learned_ridge,L2,Q16584,93,-0.0769
learned_ridge,L2,Q16620,188,0.4822
learned_ridge,L2,Q16769,67,0.0676
learned_ridge,L2,Q32ZE1,150,-0.0804
learned_ridge,L2,Q5S007,760,0.1557
learned_ridge,L2,Q6V1X1,69,0.5962
learned_ridge,L2,Q6ZQW0,54,-0.1470
learned_ridge,L2,Q72547,64,-0.2964
learned_ridge,L2,Q86TI2,56,0.5298
learned_ridge,L2,Q86W56,341,0.1965
learned_ridge,L2,Q86WV6,170,-0.3274
learned_ridge,L2,Q8IVH8,332,-0.2001
learned_ridge,L2,Q8N884,308,0.2543
learned_ridge,L2,Q8NEB9,57,0.1391
learned_ridge,L2,Q8R4B8,58,0.0374
learned_ridge,L2,Q92633,560,0.1375
learned_ridge,L2,Q92769,338,0.6687
learned_ridge,L2,Q92793,437,0.0831
learned_ridge,L2,Q92993,93,0.4675
learned_ridge,L2,Q93009,293,-0.2192
learned_ridge,L2,Q96RI1,61,-0.1707
learned_ridge,L2,Q99640,286,0.2847
learned_ridge,L2,Q99683,76,-0.2764
learned_ridge,L2,Q99814,114,-0.2671
learned_ridge,L2,Q9BY41,393,0.3440
learned_ridge,L2,Q9H3N8,55,-0.3189
learned_ridge,L2,Q9H8M2,391,0.1311
learned_ridge,L2,Q9HAZ1,135,0.2932
