baseline,layer,uniprot,n_actives,spearman
oracle,L2,P06239,715,0.8084
oracle,L2,P06241,54,0.3645
oracle,L2,P06276,139,0.7395
oracle,L2,P07333,773,0.8513
oracle,L2,P07711,113,0.6715
oracle,L2,P07949,263,0.7379
oracle,L2,P08069,359,0.5042
oracle,L2,P08173,78,0.5157
oracle,L2,P08581,831,0.7131
oracle,L2,P08908,207,0.5436
oracle,L2,P08922,51,0.4179
oracle,L2,P09619,429,0.8653
oracle,L2,P0DMS8,50,0.5375
oracle,L2,P10275,145,0.5029
oracle,L2,P10398,103,0.3452
oracle,L2,P10415,1007,0.8661
oracle,L2,P11309,66,0.7233
oracle,L2,P11362,501,0.7478
oracle,L2,P11474,199,0.7261
oracle,L2,P11802,1402,0.8548
oracle,L2,P14756,71,0.7764
oracle,L2,P15428,361,0.5558
oracle,L2,P18825,125,0.5329
oracle,L2,P20618,73,0.1302
oracle,L2,P21554,53,0.5049
oracle,L2,P21802,484,0.7201
oracle,L2,P22413,524,0.7591
oracle,L2,P22455,116,0.7326
oracle,L2,P22607,384,0.6362
oracle,L2,P23458,622,0.9084
oracle,L2,P23946,71,0.4653
oracle,L2,P24941,1629,0.8359
oracle,L2,P27338,124,0.4332
oracle,L2,P27487,116,0.8109
oracle,L2,P28074,325,0.6597
oracle,L2,P28335,296,0.4318
oracle,L2,P28482,665,0.8152
oracle,L2,P29274,777,0.7357
oracle,L2,P29275,358,0.6748
oracle,L2,P29597,1372,0.5519
oracle,L2,P30530,928,0.7016
oracle,L2,P30542,114,0.6818
oracle,L2,P31391,100,0.7559
oracle,L2,P31645,109,0.3191
oracle,L2,P31749,213,0.5086
oracle,L2,P31751,118,0.5449
oracle,L2,P32245,208,0.2546
oracle,L2,P34913,62,0.5704
oracle,L2,P34914,198,0.6198
oracle,L2,P34972,63,0.6251
oracle,L2,P35372,197,0.9175
oracle,L2,P35916,71,0.4523
oracle,L2,P35968,927,0.7221
oracle,L2,P36888,506,0.9349
oracle,L2,P39900,83,0.4357
oracle,L2,P41143,92,0.9344
oracle,L2,P41145,526,0.7129
oracle,L2,P41146,54,0.5216
oracle,L2,P41240,174,0.6755
oracle,L2,P42330,77,0.6241
oracle,L2,P42345,80,0.6338
oracle,L2,P43405,104,0.6500
oracle,L2,P43490,482,0.5030
oracle,L2,P47205,147,0.6518
oracle,L2,P47869,184,0.8743
oracle,L2,P48729,134,0.6748
oracle,L2,P48730,144,0.5712
oracle,L2,P49759,134,0.5448
oracle,L2,P49760,257,0.8751
oracle,L2,P49841,1407,0.5390
oracle,L2,P50053,944,0.7989
oracle,L2,P50406,56,0.3849
oracle,L2,P50750,192,0.7392
oracle,L2,P51531,92,0.3718
oracle,L2,P51532,82,0.2005
oracle,L2,P53350,107,0.9055
oracle,L2,P53396,59,0.3702
oracle,L2,P53634,415,0.8794
oracle,L2,P53667,62,0.3772
oracle,L2,P53671,66,0.4691
oracle,L2,P53779,65,0.5949
oracle,L2,P56817,352,0.8015
oracle,L2,P61073,52,0.4597
oracle,L2,P61964,51,0.6154
oracle,L2,P62813,86,0.5177
oracle,L2,P78527,632,0.5201
oracle,L2,P80192,58,0.7375
oracle,L2,Q00534,1091,0.7809
oracle,L2,Q03111,100,0.4795
oracle,L2,Q04609,101,0.7082
oracle,L2,Q06124,487,0.7418
oracle,L2,Q06187,977,0.7334
oracle,L2,Q07817,377,0.8397
oracle,L2,Q09472,112,0.8022
oracle,L2,Q12884,122,0.6257
oracle,L2,Q13315,216,0.5896
oracle,L2,Q13464,183,0.4972
oracle,L2,Q13489,211,0.6105
oracle,L2,Q13546,588,0.7583
oracle,L2,Q13547,1044,0.7787
oracle,L2,Q14145,124,0.3769
oracle,L2,Q14833,171,0.4452
oracle,L2,Q15119,112,0.4464
oracle,L2,Q15125,177,0.5463
oracle,L2,Q15858,660,0.9867
oracle,L2,Q15910,735,0.8690
oracle,L2,Q16288,166,0.7010
oracle,L2,Q16552,262,0.5594
oracle,L2,Q16584,93,0.6791
oracle,L2,Q16620,188,0.8314
oracle,L2,Q16769,67,0.8459
oracle,L2,Q32ZE1,150,0.4480
oracle,L2,Q5S007,760,0.7184
oracle,L2,Q6V1X1,69,0.6895
oracle,L2,Q6ZQW0,54,0.0167
oracle,L2,Q72547,64,0.7236
oracle,L2,Q86TI2,56,0.7312
oracle,L2,Q86W56,341,0.7203
oracle,L2,Q86WV6,170,0.8229
oracle,L2,Q8IVH8,332,0.7658
oracle,L2,Q8N884,308,0.8279
oracle,L2,Q8NEB9,57,0.2117
oracle,L2,Q8R4B8,58,0.6284
oracle,L2,Q92633,560,0.5217
oracle,L2,Q92769,338,0.7746
oracle,L2,Q92793,437,0.1686
oracle,L2,Q92993,93,0.5968
oracle,L2,Q93009,293,0.6829
oracle,L2,Q96RI1,61,0.1424
oracle,L2,Q99640,286,0.7627
oracle,L2,Q99683,76,0.5609
oracle,L2,Q99814,114,0.3282
oracle,L2,Q9BY41,393,0.5851
oracle,L2,Q9H3N8,55,0.5367
oracle,L2,Q9H8M2,391,0.5406
oracle,L2,Q9HAZ1,135,0.6338
oracle,L2,Q9HBH9,104,0.5159
oracle,L2,Q9NSY1,68,0.2745
oracle,L2,Q9NWZ3,1458,0.7942
oracle,L2,Q9NYV4,282,0.4193
oracle,L2,Q9P2K8,86,0.7246
oracle,L2,Q9UBN7,1401,0.7884
oracle,L2,Q9UGN5,164,0.5271
oracle,L2,Q9UNA0,80,0.6628
oracle,L2,Q9Y251,53,0.7171
oracle,L2,Q9Y5Y9,632,0.6485
oracle,L2,Q9Y5Z0,317,0.7287
oracle,L3,C7FF05,92,0.4495
oracle,L3,O14638,91,0.4213
oracle,L3,O94921,100,0.5348
oracle,L3,P01111,469,0.4591
oracle,L3,P05622,378,0.6161
oracle,L3,P08519,75,0.2829
oracle,L3,P0DTC1,855,0.7048
oracle,L3,P28347,238,0.4982
oracle,L3,P30405,78,0.3135
oracle,L3,P37288,110,0.6132
oracle,L3,P43220,129,0.8417
oracle,L3,P56528,103,0.6150
oracle,L3,P97821,83,0.4923
oracle,L3,Q15562,180,0.5424
oracle,L3,Q15878,151,0.4735
oracle,L3,Q92830,159,0.2279
oracle,L3,Q96LB1,69,0.4484
oracle,L3,Q99594,102,0.6706
oracle,L3,Q9NP56,71,0.4958
oracle,L4,O00187,338,0.8145
oracle,L4,O00411,227,0.5259
oracle,L4,O00443,99,0.3088
oracle,L4,O14578,152,0.3041
oracle,L4,O14874,106,0.6548
oracle,L4,O42275,118,0.3993
oracle,L4,O60427,236,0.2493
oracle,L4,O75747,229,0.2580
oracle,L4,O75909,169,0.6561
oracle,L4,O88634,66,0.4042
oracle,L4,O94782,406,0.5640
oracle,L4,O95835,73,0.4772
oracle,L4,P08546,82,0.7402
oracle,L4,P09246,80,0.6448
oracle,L4,P09871,421,0.7476
oracle,L4,P0AES4,133,0.6682
oracle,L4,P11166,69,0.5624
oracle,L4,P14060,74,0.2207
oracle,L4,P14416,320,0.6061
oracle,L4,P16788,454,0.7102
oracle,L4,P17927,69,0.3327
oracle,L4,P17948,94,0.4904
oracle,L4,P19525,181,0.6298
oracle,L4,P20648,112,0.4041
oracle,L4,P21917,65,0.4704
oracle,L4,P22001,351,0.6613
oracle,L4,P24864,68,0.6859
oracle,L4,P25929,102,0.7449
oracle,L4,P28223,1200,0.6550
oracle,L4,P30990,76,0.5054
oracle,L4,P34969,101,0.3639
oracle,L4,P35462,109,0.7394
oracle,L4,P37840,115,0.4344
oracle,L4,P50052,214,0.8059
