model,layer,uniprot,n_molecules,order_used
hypseek_rk,L1,Q13946,610,lmdb
hypseek_rk,L1,Q14145,663,lmdb
hypseek_rk,L1,Q14289,1018,lmdb
hypseek_rk,L1,Q15059,2193,lmdb
hypseek_rk,L1,Q15118,662,lmdb
hypseek_rk,L1,Q15303,712,lmdb
hypseek_rk,L1,Q15561,2905,lmdb
hypseek_rk,L1,Q15910,1581,lmdb
hypseek_rk,L1,Q16288,1020,lmdb
hypseek_rk,L1,Q16512,816,lmdb
hypseek_rk,L1,Q16539,713,FAIL
hypseek_rk,L1,Q16620,967,lmdb
hypseek_rk,L1,Q16678,5450,lmdb
hypseek_rk,L1,Q16769,1375,lmdb
hypseek_rk,L1,Q16790,10448,FAIL
hypseek_rk,L1,Q2M2I8,1479,lmdb
hypseek_rk,L1,Q5S007,1478,lmdb
hypseek_rk,L1,Q5TCY1,816,lmdb
hypseek_rk,L1,Q6GI75,816,lmdb
hypseek_rk,L1,Q6P179,611,lmdb
hypseek_rk,L1,Q72547,1785,lmdb
hypseek_rk,L1,Q86W56,2139,lmdb
hypseek_rk,L1,Q86WV6,1275,lmdb
hypseek_rk,L1,Q86X55,2446,lmdb
hypseek_rk,L1,Q86YT5,816,lmdb
hypseek_rk,L1,Q8IXJ6,1222,lmdb
hypseek_rk,L1,Q8N1Q1,510,lmdb
hypseek_rk,L1,Q8N884,713,lmdb
hypseek_rk,L1,Q8NEB9,663,lmdb
hypseek_rk,L1,Q8NER1,510,lmdb
hypseek_rk,L1,Q8R4B8,1018,lmdb
hypseek_rk,L1,Q8TF76,663,lmdb
hypseek_rk,L1,Q8WUI4,865,lmdb
hypseek_rk,L1,Q92769,6469,lmdb
hypseek_rk,L1,Q92793,612,lmdb
hypseek_rk,L1,Q92918,8204,lmdb
hypseek_rk,L1,Q93009,813,lmdb
hypseek_rk,L1,Q96EB6,561,lmdb
hypseek_rk,L1,Q96GD4,1224,lmdb
hypseek_rk,L1,Q96KQ7,1527,lmdb
hypseek_rk,L1,Q96LA8,611,lmdb
hypseek_rk,L1,Q96MU7,560,lmdb
hypseek_rk,L1,Q96P20,1224,lmdb
hypseek_rk,L1,Q96RI1,660,FAIL
hypseek_rk,L1,Q96S37,1223,lmdb
hypseek_rk,L1,Q99640,2291,lmdb
hypseek_rk,L1,Q99683,815,lmdb
hypseek_rk,L1,Q99685,560,lmdb
hypseek_rk,L1,Q99720,3208,lmdb
hypseek_rk,L1,Q99873,1730,lmdb
hypseek_rk,L1,Q9BUB5,662,lmdb
hypseek_rk,L1,Q9BV86,714,lmdb
hypseek_rk,L1,Q9BY41,5301,lmdb
hypseek_rk,L1,Q9C0B1,4130,lmdb
hypseek_rk,L1,Q9GZQ8,916,lmdb
hypseek_rk,L1,Q9H2K2,1734,lmdb
hypseek_rk,L1,Q9H999,1428,lmdb
hypseek_rk,L1,Q9H9B1,916,FAIL
hypseek_rk,L1,Q9HBH9,612,lmdb
hypseek_rk,L1,Q9NQS5,663,lmdb
hypseek_rk,L1,Q9NWZ3,4633,lmdb
hypseek_rk,L1,Q9NXA8,662,lmdb
hypseek_rk,L1,Q9NYV4,714,lmdb
hypseek_rk,L1,Q9NZQ7,4333,lmdb
hypseek_rk,L1,Q9P1W9,1172,lmdb
hypseek_rk,L1,Q9UQB9,510,lmdb
hypseek_rk,L1,Q9UQD0,765,lmdb
hypseek_rk,L1,Q9Y233,2140,lmdb
hypseek_rk,L1,Q9Y2K2,1935,lmdb
hypseek_rk,L1,Q9Y2R2,611,lmdb
hypseek_rk,L1,Q9Y463,1224,lmdb
hypseek_rk,L1,Q9Y5Y9,2088,lmdb
hypseek_rk,L1,Q9Y5Z0,11569,lmdb
hypseek_rk,L2,C7C422,3720,FAIL
hypseek_rk,L2,I6YFP0,559,lmdb
hypseek_rk,L2,O00141,1733,lmdb
hypseek_rk,L2,O00255,20330,lmdb
hypseek_rk,L2,O00329,41723,FAIL
hypseek_rk,L2,O00444,1835,lmdb
hypseek_rk,L2,O00763,2345,lmdb
hypseek_rk,L2,O14684,6371,lmdb
hypseek_rk,L2,O14733,815,lmdb
hypseek_rk,L2,O14744,41468,lmdb
hypseek_rk,L2,O14757,9683,lmdb
hypseek_rk,L2,O14842,918,lmdb
hypseek_rk,L2,O14965,2597,lmdb
hypseek_rk,L2,O14976,1680,lmdb
hypseek_rk,L2,O15151,561,lmdb
hypseek_rk,L2,O15379,21046,lmdb
